GB|KR|North Lanarkshire
GB|KT|North Lincolnshire
GB|KU|North Somerset
GB|KV|North Yorkshire
GB|KO|Northamptonshire
GB|KW|Northern Ireland
GB|KX|Northumberland
GB|KZ|Nottinghamshire
GB|L0|Orkney and Shetland Isles
GB|L1|Oxfordshire
GB|L2|Pembrokeshire
GB|L3|Perth and Kinross
GB|L4|Powys
GB|L5|Redcar and Cleveland
GB|L6|Renfrewshire
GB|L7|Rhonda Cynon Taff
GB|L8|Rutland
GB|L9|Scottish Borders
GB|LB|Shetland
GB|LC|Shropshire
GB|LD|Somerset
GB|LE|South Ayrshire
GB|LF|South Glamorgan
GB|LG|South Gloucesteshire
GB|LH|South Lanarkshire
GB|LI|South Yorkshire
GB|LJ|Staffordshire
GB|LK|Stirling
GB|LL|Stockton On Tees
GB|LM|Suffolk
GB|LN|Surrey
GB|LO|Swansea
GB|LP|Torfaen
GB|LQ|Tyne and Wear
GB|LR|Tyrone
GB|LS|Vale Of Glamorgan
GB|LT|Wales
GB|LU|Warwickshire
GB|LV|West Berkshire
GB|LW|West Dunbartonshire
GB|LX|West Glamorgan
GB|LY|West Lothian
GB|LZ|West Midlands
GB|M0|West Sussex
GB|M1|West Yorkshire
GB|M2|Western Isles
GB|M3|Wiltshire
GB|M4|Wirral
GB|M5|Worcestershire
GB|M6|Wrexham
GB|M7|York
CA|AB|Alberta
CA|BC|British Columbia
CA|MB|Manitoba
CA|NB|New Brunswick
CA|NL|Newfoundland and Labrador
CA|NT|Northwest Territories
CA|NS|Nova Scotia
CA|NU|Nunavut
CA|ON|Ontario
CA|PE|Prince Edward Island
CA|QC|Quebec
CA|SK|Saskatchewan
CA|YT|Yukon
AU|ACT|Australian Capital Territory
AU|NSW|New South Wales
AU|NT|Northern Territory
AU|QLD|Queensland
AU|SA|South Australia
AU|TAS|Tasmania
AU|VIC|Victoria
AU|WA|Western Australia
MX|AG|Aguascalientes
MX|BJ|Baja California
MX|BS|Baja California Sur
MX|CP|Campeche
MX|CH|Chiapas
MX|CI|Chihuahua
MX|CU|Coahuila
MX|CL|Colima
MX|DF|Distrito Federal
MX|DG|Durango
MX|GJ|Guanajuato
MX|GR|Guerrero
MX|HG|Hidalgo
MX|JA|Jalisco
MX|EM|Mexico
MX|MH|Michoacan
MX|MR|Morelos
MX|NA|Nayarit
MX|NL|Nuevo Leon
MX|OA|Oaxaca
MX|PU|Puebla
MX|QA|Queretaro
MX|QR|Quintana Roo
MX|SL|San Luis Potosi
MX|SI|Sinaloa
MX|SO|Sonora
MX|TA|Tabasco
MX|TM|Tamaulipas
MX|TL|Tlaxcala
MX|VL|Veracruz
MX|YC|Yucatan
MX|ZT|Zacatecas
